year,jday,tmin,tmax,rain,rad
1,55,19.1,31.7,0.0,0.6
1,56,15.8,32.0,0.0,0.7
1,57,17.0,28.7,0.0,0.7
1,58,17.0,32.1,0.0,0.7
1,59,18.7,27.7,0.0,0.5
1,60,18.6,33.5,0.0,0.6
1,61,17.9,30.8,0.0,0.7
1,62,20.0,33.8,0.0,0.8
1,63,16.9,31.1,1.4,0.4
1,64,20.5,33.0,0.0,0.7
1,65,19.3,32.7,14.7,0.5
1,66,18.0,30.0,0.2,0.4
1,67,17.8,23.2,0.2,0.7
1,68,19.1,29.8,0.2,0.5
1,69,18.3,30.4,1.8,0.6
1,70,20.0,32.4,0.2,0.4
1,71,18.6,28.3,0.3,0.7
1,72,18.8,29.0,9.8,0.7
1,73,16.8,31.3,0.2,0.4
1,74,20.2,26.9,0.2,0.5
1,75,19.1,28.3,1.0,0.5
1,76,19.1,34.0,22.5,0.7
1,77,18.0,33.2,0.0,1.3
1,78,18.5,33.3,0.0,0.7
1,79,18.8,28.9,1.0,0.4
1,80,17.9,32.6,1.1,0.3
1,81,18.6,34.0,0.0,0.8
1,82,18.0,31.6,12.2,0.5
1,83,18.1,30.3,0.2,0.8
1,84,15.9,30.2,0.2,0.8
1,85,20.1,30.0,17.2,0.6
1,86,19.2,31.2,7.0,0.6
1,87,17.8,31.9,0.2,0.8
1,88,19.1,33.5,0.0,0.7
1,89,18.6,33.7,0.0,0.6
1,90,24.2,32.3,0.0,0.8
1,91,18.1,29.5,1.6,0.7
1,92,17.8,31.4,0.0,1.2
1,93,18.8,28.6,34.0,0.5
1,94,19.0,31.3,5.6,0.6
1,95,17.1,32.1,0.0,1.1
1,96,18.6,32.8,0.0,1.1
1,97,19.0,30.1,0.0,0.7
1,98,18.4,28.0,0.2,0.7
1,99,18.7,30.7,0.8,0.5
1,100,18.5,27.3,0.2,0.6
1,101,18.8,28.8,0.0,0.7
1,102,19.0,29.7,0.0,0.6
1,103,28.8,30.3,0.0,0.6
1,104,18.8,29.2,0.0,0.6
1,105,19.1,29.7,0.0,0.4
1,106,18.2,31.1,0.0,0.7
1,107,20.3,29.3,0.2,1.0
1,108,16.9,31.0,0.0,1.2
1,109,19.9,32.0,0.2,1.0
1,110,18.8,29.9,0.0,1.1
1,111,16.3,28.7,0.2,0.7
1,112,17.4,29.5,0.0,1.0
1,113,18.0,25.0,46.1,0.8
1,114,16.8,30.0,0.0,1.8
1,115,29.1,31.2,0.0,0.6
1,116,18.1,30.2,0.0,1.2
1,117,18.7,30.0,0.0,0.6
1,118,16.9,27.9,0.0,0.7
1,119,17.9,30.9,5.6,0.6
1,120,25.8,30.1,0.0,1.1
1,121,16.6,30.2,1.2,0.7
1,122,16.2,28.2,0.0,1.3
1,123,17.2,27.1,0.2,0.5
1,124,19.5,27.4,0.2,1.0
1,125,22.3,29.4,0.0,1.0
1,126,17.8,25.2,0.7,0.6
1,127,16.9,26.7,0.0,0.7
1,128,19.7,27.7,1.8,1.0
1,129,19.6,25.6,0.2,1.0
1,130,17.2,25.2,0.2,0.5
1,131,18.0,26.5,0.7,0.5
1,132,15.1,30.6,0.0,0.4
1,133,19.1,27.8,0.0,0.9
1,134,17.3,27.1,1.1,1.0
1,135,18.9,25.9,0.0,0.6
1,136,18.0,27.7,0.0,0.5
1,137,16.3,29.8,0.0,0.9
1,138,15.3,29.0,0.0,0.6
1,139,14.2,22.4,0.2,0.5
1,140,14.9,26.5,0.0,0.9
1,141,18.6,25.0,0.2,0.4
1,142,17.5,30.0,0.7,0.5
1,143,15.7,26.3,0.2,0.5
1,144,15.7,31.5,0.0,0.9
1,145,16.6,26.6,0.0,0.6
1,146,17.1,25.3,1.8,0.5
1,147,16.5,23.8,1.3,0.6
1,148,17.1,30.1,0.0,1.0
1,149,18.2,29.1,0.0,0.4
1,150,17.4,27.0,2.8,0.2
1,151,14.4,29.3,0.0,0.9
1,152,13.2,31.2,0.0,0.5
1,153,16.6,27.4,0.0,0.8
1,154,17.3,27.8,0.0,0.6
1,155,17.8,26.1,0.0,0.8
1,156,16.3,28.7,0.0,0.7
1,157,15.6,26.9,0.0,0.5
1,158,14.4,27.8,0.0,1.2
1,159,15.2,26.4,9.5,0.3
1,160,15.5,28.9,0.0,0.5
1,161,15.5,25.4,0.0,0.5
1,162,17.3,27.9,0.0,0.5
1,163,16.7,28.1,0.0,0.7
1,164,16.0,21.2,2.2,1.0
1,165,14.0,27.9,0.0,0.3
1,166,15.7,28.3,0.0,0.4
1,167,14.2,27.3,0.0,0.5
1,168,16.5,28.0,0.0,0.7
1,169,14.8,28.2,0.0,0.8
1,170,14.3,26.7,0.0,0.7
1,171,16.5,25.6,0.0,0.4
1,172,15.8,27.4,0.0,0.3
1,173,15.4,26.3,0.2,0.5
1,174,15.2,24.3,0.0,0.6
1,175,16.5,28.3,0.0,0.6
1,176,10.2,26.4,0.0,0.5
1,177,15.5,26.5,0.0,0.5
1,178,15.9,24.3,0.0,0.4
1,179,13.0,27.4,0.0,0.3
1,180,16.3,29.8,0.0,0.5
1,181,15.4,26.3,0.0,0.4
1,182,16.8,25.1,0.0,0.5
1,183,13.1,24.6,0.0,1.2
1,184,16.9,28.4,0.0,0.9
1,185,15.3,28.5,0.0,0.6
1,186,16.2,27.4,0.0,0.6
1,187,14.5,24.3,0.0,0.5
1,188,13.9,26.6,0.0,0.4
1,189,16.0,26.4,0.0,0.4
1,190,15.3,28.6,0.0,0.4
1,191,11.6,27.8,0.0,1.0
1,192,14.8,28.7,0.0,0.5
1,193,11.6,27.5,1.1,0.4
1,194,15.2,25.5,0.0,0.6
1,195,14.4,25.8,0.0,0.9
1,196,15.3,25.9,0.0,0.7
1,197,14.5,28.3,0.0,0.4
1,198,14.8,25.9,0.2,0.5
1,199,16.3,23.4,0.3,0.3
1,200,14.6,26.2,0.0,0.5
1,201,13.5,26.5,0.0,0.9
1,202,14.3,28.6,0.0,0.5
1,203,15.3,28.5,0.0,0.4
1,204,15.2,26.8,0.0,0.4
1,205,14.4,26.1,0.0,0.7
1,206,15.3,28.0,0.0,0.6
1,207,16.5,28.6,0.0,1.1
1,208,14.7,27.4,0.0,0.7
1,209,12.7,25.0,0.0,0.6
1,210,12.2,26.3,0.0,0.5
1,211,16.0,25.0,0.0,0.6
1,212,16.4,28.1,0.0,0.7
1,213,12.8,22.0,0.0,0.9
1,214,15.4,29.2,0.0,0.6
1,215,13.9,28.2,0.0,0.6
1,216,17.0,29.2,0.0,0.4
1,217,13.2,27.6,0.0,1.2
1,218,16.4,25.8,0.0,0.6
1,219,16.4,27.2,0.0,0.4
1,220,14.8,24.1,0.0,0.5
1,221,13.4,25.9,0.0,0.4
1,222,15.7,25.6,0.0,0.8
1,223,16.9,27.1,0.0,0.7
1,224,17.2,28.0,0.0,0.4
1,225,15.7,28.1,0.0,0.6
1,226,13.9,25.5,0.0,0.4
1,227,14.6,24.6,0.0,0.6
1,228,13.6,25.0,0.0,0.4
1,229,13.9,26.9,0.0,0.2
1,230,17.4,28.9,0.0,0.2
1,231,11.8,24.0,0.0,0.6
1,232,15.4,25.8,0.0,0.9
1,233,13.0,29.3,0.0,0.4
1,234,14.5,29.3,0.0,0.6
1,235,17.5,28.9,0.0,0.6
1,236,14.4,27.2,0.0,0.5
1,237,15.4,23.5,0.0,1.3
1,238,16.0,28.6,0.0,0.6
1,239,12.5,23.1,0.2,0.6
1,240,14.1,24.3,0.7,0.3
1,241,15.4,25.9,0.0,0.5
1,242,16.0,28.1,0.0,0.9
1,243,14.9,28.1,0.0,0.7
1,244,17.4,24.7,0.0,0.5
1,245,15.6,26.1,0.0,0.5
1,246,16.9,26.9,0.3,0.5
1,247,15.2,27.7,0.0,0.5
1,248,16.1,26.6,0.0,0.3
1,249,15.4,28.6,0.0,0.8
1,250,14.0,28.1,0.0,1.3
1,251,16.9,27.3,0.0,1.1
1,252,11.7,27.2,0.0,0.5
1,253,15.1,29.8,0.0,0.5
1,254,13.4,27.2,0.0,0.5
1,255,12.9,26.9,0.0,1.3
1,256,15.1,28.9,0.0,1.4
1,257,15.3,26.6,4.8,0.4
1,258,14.3,26.8,0.0,1.2
1,259,16.4,28.8,0.0,0.8
1,260,15.4,28.4,0.0,1.2
1,261,17.4,27.2,16.6,1.1
1,262,16.1,31.2,0.0,0.7
1,263,12.7,27.6,0.0,1.3
1,264,15.3,27.2,0.0,1.3
1,265,15.9,31.4,0.0,0.7
1,266,15.4,29.0,0.0,1.2
1,267,13.8,31.1,0.0,1.2
1,268,12.2,27.4,0.0,0.7
1,269,17.0,30.5,0.0,0.8
1,270,14.6,26.3,0.0,0.9
1,271,15.8,28.3,0.0,0.8
1,272,17.6,29.8,0.0,0.6
1,273,15.9,28.6,0.0,1.1
1,274,17.1,30.4,0.0,1.3
1,275,16.9,23.5,0.4,0.4
1,276,16.7,31.9,0.0,0.4
1,277,17.2,33.3,0.0,0.6
1,278,15.0,31.0,0.0,0.6
1,279,14.1,29.7,0.0,0.5
1,280,15.8,22.7,0.3,0.4
1,281,14.3,31.8,0.0,0.6
1,282,16.9,30.8,0.0,1.1
1,283,16.2,32.6,0.0,1.1
1,284,18.5,29.6,0.0,0.6
1,285,18.7,34.9,0.0,1.1
1,286,13.1,33.0,0.0,0.6
1,287,16.1,32.9,0.0,1.1
1,288,14.8,32.8,0.0,0.6
1,289,17.9,32.7,0.0,0.9
1,290,17.6,31.6,0.0,0.5
1,291,17.4,31.7,0.0,1.0
1,292,16.4,29.1,0.0,1.0
1,293,17.8,33.7,0.0,1.1
1,294,18.1,30.2,0.0,1.1
1,295,16.9,29.1,0.0,0.5
1,296,14.0,27.3,0.0,0.6
1,297,16.6,29.9,0.0,0.9
1,298,17.7,29.2,0.0,0.6
1,299,15.8,32.5,0.0,0.9
1,300,17.5,32.7,0.0,0.6
1,301,18.4,30.8,0.0,0.6
1,302,14.6,29.8,0.0,0.5
1,303,18.3,33.8,0.0,0.6
1,304,19.0,25.4,0.3,0.5
1,305,16.1,33.4,0.0,0.8
1,306,16.6,29.8,0.0,1.4
1,307,16.5,28.4,0.0,0.5
1,308,16.6,30.0,0.0,0.7
1,309,18.6,30.2,0.0,0.6
1,310,16.1,29.0,0.0,0.6
1,311,17.1,29.4,0.0,0.6
1,312,18.2,31.1,0.3,0.4
1,313,18.7,24.8,2.4,0.6
1,314,18.9,26.1,0.2,0.4
1,315,17.4,26.6,2.4,0.6
1,316,18.8,28.9,8.9,0.6
1,317,18.8,31.3,0.0,0.7
1,318,16.3,30.5,0.0,0.5
1,319,18.7,30.1,0.0,0.6
1,320,17.3,25.8,0.2,0.6
1,321,18.1,29.7,13.1,0.9
1,322,17.7,29.9,1.1,1.1
1,323,16.6,33.2,0.0,0.5
1,324,19.8,29.7,0.0,0.7
1,325,18.5,29.6,0.0,1.2
1,326,20.1,29.7,0.0,0.7
1,327,16.6,30.3,0.0,0.6
1,328,18.7,26.2,0.5,0.5
1,329,18.3,27.6,6.6,0.7
1,330,15.7,27.6,0.0,0.6
1,331,19.3,28.6,3.0,0.6
1,332,19.5,29.6,0.0,0.7
1,333,15.9,33.1,0.0,0.7
1,334,19.3,30.4,0.0,0.8
1,335,19.0,26.9,12.0,0.6
1,336,19.5,27.9,5.6,0.6
1,337,18.8,27.6,0.2,0.7
1,338,16.1,29.1,0.0,1.1
1,339,20.4,29.2,0.0,0.7
1,340,17.8,27.4,0.0,0.7
1,341,18.7,29.6,0.0,1.2
1,342,19.2,31.4,0.0,0.9
1,343,17.7,27.8,0.2,0.4
1,344,18.3,29.8,0.4,0.8
1,345,18.3,28.9,0.0,0.9
1,346,19.0,30.8,0.0,0.7
1,347,19.1,28.5,5.9,1.0
1,348,17.9,31.8,0.0,1.3
1,349,17.9,29.1,0.0,0.7
1,350,19.3,31.6,0.0,0.5
1,351,19.2,29.4,0.0,0.6
1,352,18.3,29.1,0.0,0.7
1,353,18.4,31.4,0.0,0.7
1,354,20.3,28.3,1.9,0.8
1,355,19.0,30.2,0.2,1.4
1,356,19.7,27.9,0.2,0.7
1,357,19.8,27.8,0.2,0.7
1,358,18.4,28.1,0.0,0.8
1,359,19.4,28.8,0.2,0.6
1,360,19.6,31.0,1.2,0.5
1,361,18.8,29.9,0.0,0.7
1,362,18.6,29.8,0.0,0.6
1,363,17.5,29.9,0.0,0.8
1,364,19.3,30.4,0.0,0.5
1,365,17.6,29.8,0.0,1.4
2,1,17.4,27.2,0.0,0.8
2,2,17.2,31.3,0.0,1.0
2,3,19.8,31.1,0.0,0.7
2,4,18.2,31.4,0.0,0.8
2,5,18.9,29.1,0.0,0.7
2,6,17.6,30.9,0.0,1.4
2,7,19.7,27.6,3.3,0.8
2,8,17.9,31.1,0.0,0.7
2,9,17.5,31.8,0.0,0.6
2,10,17.7,30.3,0.0,0.8
2,11,19.5,30.9,0.0,0.7
2,12,17.9,28.4,0.0,1.4
2,13,20.9,31.7,0.0,1.3
2,14,18.7,28.8,0.0,0.8
2,15,17.8,30.3,0.0,0.7
2,16,16.1,29.7,0.0,0.4
2,17,19.6,29.1,0.0,0.6
2,18,19.0,29.2,0.2,0.3
2,19,18.9,28.7,0.0,0.8
2,20,17.7,27.5,0.0,0.7
2,21,18.6,27.6,0.2,0.5
2,22,18.5,30.8,1.3,0.5
2,23,17.8,30.7,0.2,0.5
2,24,18.0,30.3,0.2,0.5
2,25,18.9,28.2,0.2,0.6
2,26,19.0,26.6,15.6,0.5
2,27,18.7,31.3,0.0,0.6
2,28,17.9,30.4,0.0,1.4
2,29,17.4,31.2,0.0,0.7
2,30,17.7,33.1,0.0,0.7
2,31,18.8,30.0,0.0,1.3
2,32,20.3,32.4,0.0,0.7
2,33,18.2,32.3,0.0,0.7
2,34,17.1,32.4,0.0,0.5
2,35,17.7,30.7,0.0,0.4
2,36,18.4,27.6,0.0,0.6
2,37,17.4,31.0,1.2,0.4
2,38,19.6,34.4,0.2,0.3
2,39,19.7,28.8,3.4,0.6
2,40,17.6,33.2,0.0,0.4
2,41,18.4,30.8,0.0,0.6
2,42,18.2,30.1,0.0,1.0
2,43,18.8,31.9,0.0,0.6
2,44,16.2,32.0,0.0,0.9
2,45,19.4,32.3,0.0,0.7
2,46,18.9,29.1,0.0,1.1
2,47,18.7,31.4,0.0,1.3
2,48,18.0,28.8,0.0,0.6
2,49,18.7,34.0,0.0,0.6
2,50,19.5,32.1,0.0,1.2
2,51,19.4,34.3,0.0,1.3
2,52,16.3,33.0,0.0,0.6
2,53,17.7,32.8,0.0,0.6
2,54,17.9,32.4,0.0,0.5
2,55,17.7,31.9,0.0,0.6
2,56,18.3,29.2,0.0,1.2
2,57,16.7,32.3,0.0,0.9
2,58,20.4,30.4,0.2,0.4
2,59,18.3,28.3,0.0,0.6
2,60,19.9,32.7,1.4,0.6
2,61,18.2,31.3,0.2,0.6
2,62,15.4,33.6,0.0,0.6
2,63,18.7,28.7,0.0,0.7
2,64,18.2,33.0,0.0,0.5
2,65,18.7,33.1,0.0,0.5
2,66,17.5,31.3,0.0,0.6
2,67,19.7,32.1,0.0,0.7
2,68,17.7,30.1,0.0,1.1
2,69,17.6,30.7,0.0,0.8
2,70,15.6,30.6,0.0,0.5
2,71,18.2,32.9,0.0,0.7
2,72,17.9,28.9,0.0,0.8
2,73,18.2,32.4,0.0,0.7
2,74,17.4,33.3,0.0,0.7
2,75,19.7,29.7,0.6,0.4
2,76,18.3,29.5,4.5,0.4
2,77,18.0,33.3,0.0,0.5
2,78,20.6,28.7,0.0,0.7
2,79,19.5,23.5,11.4,0.6
2,80,19.1,33.8,12.7,0.9
2,81,17.8,28.9,2.3,1.2
2,82,16.0,29.5,0.2,0.8
2,83,19.7,29.1,1.5,0.6
2,84,17.6,29.3,0.7,0.6
2,85,19.4,28.8,2.0,1.1
2,86,19.4,29.1,15.8,0.8
2,87,17.8,31.0,28.8,0.5
2,88,19.0,23.3,0.2,0.7
2,89,23.9,32.5,0.0,0.6
2,90,18.9,30.7,0.0,0.6
2,91,18.2,26.6,0.2,0.5
2,92,16.2,28.3,0.2,0.9
2,93,17.8,31.4,0.0,0.7
2,94,19.4,30.6,0.0,1.0
2,95,19.4,33.3,0.0,1.1
2,96,17.4,30.2,0.0,1.0
2,97,19.1,26.2,0.2,0.5
2,98,18.6,30.2,0.2,0.6
2,99,17.7,31.7,10.5,0.4
2,100,18.8,30.3,9.8,0.5
2,101,18.6,27.5,0.2,0.4
2,102,19.9,26.6,0.2,0.6
2,103,19.1,31.7,0.2,0.6
2,104,16.3,29.6,0.2,0.8
2,105,16.5,31.7,0.2,0.9
2,106,18.4,31.4,0.2,1.1
2,107,17.3,30.0,0.0,1.2
2,108,18.2,29.9,0.0,1.2
2,109,17.6,25.4,0.2,0.6
2,110,16.8,31.4,2.0,1.3
2,111,18.4,30.8,0.2,1.2
2,112,17.6,29.1,6.8,0.7
2,113,18.5,30.7,5.2,0.6
2,114,18.8,29.7,0.0,0.6
2,115,17.0,29.6,80.2,0.8
2,116,19.7,26.3,0.3,0.5
2,117,17.8,30.8,0.0,0.6
2,118,18.3,29.7,0.0,1.2
2,119,18.1,28.5,0.2,0.7
2,120,19.3,31.4,0.0,0.7
2,121,23.8,30.8,0.0,0.6
2,122,23.2,27.2,0.0,0.6
2,123,16.9,30.4,0.0,1.1
2,124,19.7,29.6,0.2,0.5
2,125,18.1,31.5,0.0,0.4
2,126,19.8,26.1,11.5,0.7
2,127,15.8,29.1,0.0,1.0
2,128,17.8,27.7,0.2,0.5
2,129,15.6,22.9,17.8,0.3
2,130,18.6,28.3,1.6,0.4
2,131,17.4,28.4,0.0,0.5
2,132,16.7,25.4,0.8,0.8
2,133,16.4,29.9,0.0,0.8
2,134,17.1,28.9,0.0,0.7
2,135,17.6,22.7,21.4,0.5
2,136,15.7,25.0,1.1,0.4
2,137,16.1,30.9,0.0,0.7
2,138,16.9,26.0,2.4,1.2
2,139,18.4,24.5,2.2,0.7
2,140,17.0,28.4,0.3,0.5
2,141,18.1,27.9,0.0,0.9
2,142,15.9,24.4,18.3,0.4
2,143,17.3,28.9,0.0,0.4
2,144,17.4,28.3,0.0,0.6
2,145,18.5,24.4,2.7,0.5
2,146,18.0,25.6,1.1,0.4
2,147,15.4,25.3,0.2,0.4
2,148,16.2,26.7,0.2,0.5
2,149,17.2,21.1,2.3,0.7
2,150,16.2,22.1,1.5,0.4
2,151,16.1,29.0,0.0,0.5
2,152,17.4,27.6,0.4,0.5
2,153,15.0,29.9,0.0,0.6
2,154,16.4,28.6,0.0,0.5
2,155,15.8,30.9,0.0,0.6
2,156,15.9,27.3,0.0,0.6
2,157,17.4,29.9,0.0,0.4
2,158,16.6,27.5,0.0,0.6
2,159,15.9,25.0,0.0,0.4
2,160,12.7,26.0,0.0,0.4
2,161,15.8,28.8,0.0,0.3
2,162,16.5,28.5,0.0,0.6
2,163,12.9,27.5,0.0,0.5
2,164,14.7,30.8,0.0,0.5
2,165,16.6,26.2,0.0,0.4
2,166,16.0,25.7,0.0,0.8
2,167,12.4,24.3,0.0,0.5
2,168,17.1,28.5,0.0,0.3
2,169,15.1,26.2,0.0,0.5
2,170,16.7,24.1,0.0,0.6
2,171,16.3,28.8,0.0,0.3
2,172,17.0,27.7,0.0,0.6
2,173,15.7,27.8,0.0,0.3
2,174,17.2,24.1,0.0,0.9
2,175,16.0,25.7,0.0,0.7
2,176,12.0,27.3,0.0,1.0
2,177,15.5,26.4,0.0,0.6
2,178,14.4,28.6,0.0,0.6
2,179,15.7,24.5,0.0,0.5
2,180,15.3,24.9,1.7,0.3
2,181,16.4,22.0,0.3,0.3
2,182,14.1,29.2,0.0,0.4
2,183,14.4,29.2,0.0,0.6
2,184,17.4,23.3,0.0,1.1
2,185,17.2,25.1,0.0,0.9
2,186,14.7,28.5,0.0,0.5
2,187,14.0,27.2,0.0,0.4
2,188,15.3,28.5,0.0,0.7
2,189,15.4,26.1,0.0,0.3
2,190,13.5,27.3,0.0,0.6
2,191,14.0,28.5,0.0,0.5
2,192,15.1,26.7,0.0,0.6
2,193,11.8,27.1,0.0,0.6
2,194,17.0,26.3,0.0,0.6
2,195,14.9,24.6,0.0,0.5
2,196,14.0,24.9,0.0,0.7
2,197,16.0,23.1,0.2,0.4
2,198,10.9,27.8,0.0,0.9
2,199,11.7,21.5,0.0,1.0
2,200,15.3,29.9,0.0,0.6
2,201,12.2,26.8,0.2,0.4
2,202,15.1,28.7,0.0,0.5
2,203,15.6,25.3,0.0,0.5
2,204,12.6,23.8,0.0,0.7
2,205,14.4,26.7,0.0,0.6
2,206,14.4,28.1,0.0,0.5
2,207,16.0,25.4,0.7,0.8
2,208,13.7,24.3,0.5,0.3
2,209,15.2,26.1,0.4,0.4
2,210,14.4,24.1,0.0,0.7
2,211,15.9,29.1,0.0,0.6
2,212,14.9,26.3,0.0,0.5
2,213,15.3,26.9,0.0,0.4
2,214,14.4,26.7,0.0,0.6
2,215,15.5,27.2,0.0,0.7
2,216,15.4,28.4,0.0,0.3
2,217,14.4,29.2,0.0,0.7
2,218,14.2,29.2,0.0,0.6
2,219,16.3,28.1,0.0,0.9
2,220,13.5,23.1,0.0,0.5
2,221,15.2,30.1,0.0,0.5
2,222,13.0,25.9,0.0,0.7
2,223,15.3,27.9,0.0,0.5
2,224,15.6,25.0,0.0,1.0
2,225,15.5,26.0,4.5,1.1
2,226,17.1,26.2,0.0,0.6
2,227,16.1,27.3,0.0,1.1
2,228,17.2,25.4,0.0,0.7
2,229,16.0,25.5,0.0,0.7
2,230,16.5,30.8,0.0,0.5
2,231,11.9,26.2,0.0,1.1
2,232,16.7,29.8,0.0,0.6
2,233,14.3,25.4,0.0,0.8
2,234,16.0,25.3,0.0,0.5
2,235,14.3,26.5,0.0,0.8
2,236,16.0,27.9,0.0,0.5
2,237,15.5,25.5,0.0,0.6
2,238,16.3,28.3,0.0,1.1
2,239,15.1,25.3,0.0,0.6
2,240,11.6,30.0,0.0,0.4
2,241,12.2,26.1,0.0,0.4
2,242,11.9,28.1,0.0,1.4
2,243,11.8,25.9,0.0,0.7
2,244,15.3,25.9,0.0,0.6
2,245,12.1,28.4,0.0,0.4
2,246,14.0,28.4,0.0,0.7
2,247,16.0,26.7,0.0,0.7
2,248,16.0,24.6,0.0,0.6
2,249,16.6,25.2,0.0,0.5
2,250,15.5,30.1,0.0,0.7
2,251,15.7,27.6,0.0,1.1
2,252,15.1,27.1,0.2,0.9
2,253,14.5,24.1,0.2,0.5
2,254,17.3,24.1,8.2,0.9
2,255,16.6,29.3,0.0,1.3
2,256,16.3,28.8,0.0,0.7
2,257,14.5,29.7,0.0,0.7
2,258,15.3,28.0,0.0,0.7
2,259,14.6,26.0,0.0,0.5
2,260,15.3,24.5,0.0,0.4
2,261,15.9,28.7,0.0,0.8
2,262,16.3,30.1,0.0,1.3
2,263,16.1,30.4,0.0,0.7
2,264,17.3,30.4,0.0,0.8
2,265,17.1,28.4,0.0,0.6
2,266,16.6,31.0,0.0,1.0
2,267,15.6,29.7,0.0,0.8
2,268,15.9,30.3,0.0,0.6
2,269,16.4,25.1,0.0,0.7
2,270,17.2,28.0,0.0,1.1
2,271,16.6,30.3,0.0,0.6
2,272,14.9,27.4,0.0,0.7
2,273,16.9,27.3,0.2,0.9
2,274,16.9,26.0,0.4,0.5
2,275,14.5,31.5,0.0,1.0
2,276,14.7,32.2,0.0,1.0
2,277,14.6,29.8,0.0,0.6
2,278,12.7,32.1,0.0,0.5
2,279,17.1,23.3,19.4,0.5
2,280,16.3,30.0,5.4,1.0
2,281,15.4,21.7,2.5,1.1
2,282,17.9,27.1,0.2,0.6
2,283,17.4,22.8,0.2,0.4
2,284,17.3,23.8,0.2,1.1
2,285,15.7,26.7,1.6,0.5
2,286,15.8,26.7,2.9,0.3
2,287,15.2,24.2,13.8,0.3
2,288,18.6,24.4,0.2,0.7
2,289,14.9,30.3,0.0,1.1
2,290,17.7,32.0,0.0,0.6
2,291,13.1,31.1,0.0,0.6
2,292,18.0,33.6,0.0,0.5
2,293,18.3,22.8,0.2,0.4
2,294,18.0,30.8,0.0,0.6
2,295,12.6,29.1,0.0,0.6
2,296,18.5,30.3,0.0,0.5
2,297,18.0,29.5,0.0,0.6
2,298,15.2,28.9,0.0,0.7
2,299,17.3,35.1,0.0,1.0
2,300,17.7,30.0,0.0,0.9
2,301,17.9,27.3,0.0,0.9
2,302,15.7,32.4,0.0,1.3
2,303,15.9,28.5,0.0,0.8
2,304,18.4,31.5,0.0,1.2
2,305,18.4,31.3,0.0,0.8
2,306,17.3,34.5,0.0,0.7
2,307,17.8,31.1,0.0,1.3
2,308,16.2,34.6,0.0,0.5
2,309,20.0,30.5,0.0,0.5
2,310,18.7,31.3,0.0,0.6
2,311,18.4,31.7,0.0,0.5
2,312,14.2,30.7,0.0,0.8
2,313,19.0,29.4,0.0,0.6
2,314,17.9,28.6,1.1,0.4
2,315,18.0,30.5,0.8,0.5
2,316,18.2,30.7,0.8,0.6
2,317,19.3,31.8,0.0,1.4
2,318,17.7,32.4,0.0,0.5
2,319,18.0,32.9,0.0,0.5
2,320,17.5,28.1,3.1,0.6
2,321,18.4,27.4,18.1,1.1
2,322,17.9,29.2,0.0,1.1
2,323,17.6,29.9,0.0,0.7
2,324,16.9,29.0,0.0,0.6
2,325,19.3,30.3,0.0,0.7
2,326,18.3,30.6,0.0,1.0
2,327,17.2,29.6,0.0,0.7
2,328,18.2,32.0,0.0,0.7
2,329,19.3,32.0,0.0,0.7
2,330,18.5,30.7,0.0,0.9
2,331,17.7,28.4,1.5,0.7
2,332,18.9,30.1,3.4,0.6
2,333,17.0,30.3,0.0,0.7
